"assessid","stocklong","daterecorded","dateloaded"
"NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE","Greenland halibut NAFO 01ABCDEF",2008-02-13,2009-06-08
"AFWG-CODNEAR-1943-2006-MINTO","Atlantic cod Northeast Arctic",2008-02-15,2010-07-18
"AFWG-CODCOASTNOR-1982-2006-MINTO","Atlantic cod coastal Norway",2008-03-24,2010-07-18
"AFWG-HADNEAR-1947-2006-MINTO","Haddock Northeast Arctic",2008-03-31,2010-07-18
"AFWG-REDDEEPI-II-1985-2006-MINTO","Deepwater Redfish Northeast Arctic",2008-04-07,2010-07-18
"NAFO-SC-AMPL3LNO-1955-2007-BAUM","American Plaice NAFO-3LNO",2008-04-07,2011-03-02
"AFWG-POLLNEAR-1957-2006-MINTO","Pollock Northeast Arctic",2008-04-07,2010-07-18
"NAFO-SC-COD3NO-1953-2007-BAUM","Atlantic cod NAFO 3NO",2008-04-07,2009-06-08
"AFWG-GOLDREDNEAR-1986-2006-MINTO","Golden Redfish Northeast Arctic",2008-04-07,2010-07-18
"AFWG-CAPENOR-1965-2007-MINTO","Capelin Barents Sea",2008-04-08,2010-07-18
"NWWG-HADFAPL-1955-2006-MINTO","Haddock Faroe Plateau",2008-04-08,2010-07-18
"NWWG-CODFAPL-1959-2006-MINTO","Atlantic cod Faroe Plateau",2008-04-08,2010-07-18
"DFO-PAC-PCODHS-1956-2005-COLLIE","Pacific cod Hecate Strait",2008-04-08,2010-07-16
"NWWG-POLLFAPL-1958-2006-MINTO","Pollock Faroe Plateau",2008-04-09,2010-07-18
"NWWG-HADICE-1977-2007-MINTO","Haddock Iceland",2008-04-10,2010-07-18
"NWWG-CODICE-1952-2006-MINTO","Atlantic cod Iceland",2008-04-10,2010-07-18
"NWWG-CAPEICE-1977-2007-MINTO","Capelin Iceland",2008-04-10,2010-07-18
"WGNSSK-CODNS-1962-2007-MINTO","Atlantic cod North Sea",2008-04-11,2010-07-18
"RIDEM-WINFLOUNDRI-1959-2007-COLLIE","Winter flounder Rhode Island",2008-04-12,2009-05-14
"RIDEM-TAUTOGRI-1959-2007-COLLIE","Tautog Rhode Island",2008-04-12,2009-05-14
"WGNSSK-SEELNS-1983-2007-MINTO","Sandeel North Sea",2008-04-12,2011-03-02
"RIDEM-LOBSTERRI-1959-2007-COLLIE","American lobster Rhode Island",2008-04-12,2009-05-13
"WGNSSK-PLAICIIIa-1976-2006-MINTO","European Plaice ICES IIIa",2008-04-13,2010-07-18
"WGNSSK-SOLENS-1956-2006-MINTO","common European sole North Sea",2008-04-13,2011-03-02
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Pacific cod West Coast of Vancouver Island",2008-04-13,2010-07-16
"WGNSSK-NPOUTNS-1983-2007-MINTO","Norway pout North Sea",2008-04-13,2010-07-18
"WGNSSK-PLAICNS-1956-2006-MINTO","European Plaice North Sea",2008-04-13,2010-07-18
"WGNSSK-PLAIC7d-1979-2006-MINTO","European Plaice ICES VIId",2008-04-13,2010-07-18
"WGNSSK-SOLEVIId-1981-2006-MINTO","common European sole ICES VIId",2008-04-13,2010-07-18
"WGNSDS-CODVIa-1977-2006-MINTO","Atlantic cod West of Scotland",2008-04-14,2010-07-18
"WGNSSK-HADNS-IIIa-1963-2006-MINTO","Haddock ICES IIIa and North Sea",2008-04-14,2010-07-18
"WGNSDS-CODIS-1968-2006-MINTO","Atlantic cod Irish Sea",2008-04-14,2010-07-18
"WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO","Pollock ICES IIIa, VI and North Sea",2008-04-14,2010-07-18
"WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO","Whiting ICES IIIa, VIId and North Sea",2008-04-14,2010-07-18
"WGNSDS-WHITVIa-1984-2007-MINTO","Whiting ICES VIa",2008-04-14,2010-07-18
"WGNSDS-HADIS-1972-2006-MINTO","Haddock Irish Sea",2008-04-14,2010-07-18
"WGNSDS-HADVIa-1977-2006-MINTO","Haddock West of Scotland",2008-04-14,2010-07-18
"HAWG-HERRVIaVIIbc-1969-2000-MINTO","Herring ICES VIa-VIIb-VIIc",2008-04-15,2011-03-01
"HAWG-HERRVIa-1957-2006-MINTO","Herring ICES VIa",2008-04-15,2010-07-18
"WGBFAS-CODKAT-1970-2006-MINTO","Atlantic cod Kattegat",2008-04-15,2010-07-18
"WGNSDS-SOLEIS-1968-2006-MINTO","common European sole Irish Sea",2008-04-15,2010-07-18
"HAWG-HERR2224IIIa-1991-2006-MINTO","Herring ICES 22-24-IIIa",2008-04-15,2010-07-18
"HAWG-HERRNS-1960-2007-MINTO","Herring North Sea",2008-04-15,2011-03-01
"WGNSDS-PLAICIS-1962-2006-MINTO","European Plaice Irish Sea",2008-04-15,2010-07-18
"HAWG-SPRATNS-1995-2007-MINTO","Sprat North Sea",2008-04-15,2010-07-18
"IATTC-YFINEPAC-1975-2007-JENSEN","Yellowfin tuna Eastern Pacific",2008-04-21,2010-07-16
"DFO-PAC-ESOLEHS-1944-2001-COLLIE","English sole Hecate Strait",2008-04-21,2009-05-14
"DFO-PAC-RSOLEHSTR-1945-2001-COLLIE","Rock sole Hecate Strait",2008-04-21,2009-05-14
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","Deepwater flathead Southeast Australia",2008-04-30,2010-06-15
"CSIRO-OROUGHYCASCADE-1987-2006-FULTON","Orange roughy Cascade Plateau",2008-04-30,2010-06-15
"CSIRO-BIGHTREDSE-1958-2007-FULTON","Bight redfish Southeast Australia",2008-04-30,2010-06-15
"CSIRO-GTPRAWNNAUST-1970-2006-FULTON","Northern Australia grooved Tiger Prawn",2008-04-30,2010-06-14
"CSIRO-BTSHRIMPNAUST-1970-2006-FULTON","Northern Australia brown tiger shrimp",2008-04-30,2010-06-14
"CSIRO-TIGERFLATSE-1913-2006-FULTON","Tiger flathead Southeast Australia",2008-04-30,2010-07-15
"CSIRO-SWHITSE-1945-2007-FULTON","School whiting Southeast Australia",2008-04-30,2010-06-15
"CSIRO-NZLINGESE-1968-2007-FULTON","New Zealand ling Eastern half of Southeast Australia",2008-04-30,2010-06-15
"CSIRO-SILVERFISHSE-1978-2006-FULTON","Silverfish Southeast Australia",2008-04-30,2010-06-15
"CSIRO-WAREHOUWSE-1984-2006-FULTON","Blue Warehou Western half of Southeast Australia",2008-04-30,2010-06-15
"CSIRO-WAREHOUESE-1984-2006-FULTON","Blue Warehou Eastern half of Southeast Australia",2008-04-30,2010-06-15
"CSIRO-NZLINGWSE-1968-2007-FULTON","New Zealand ling Western half of Southeast Australia",2008-04-30,2010-06-15
"CSIRO-GEMFISHSE-1966-2007-FULTON","common gemfish Southeast Australia",2008-04-30,2010-06-15
"CSIRO-MORWONGSE-1913-2007-FULTON","Jackass morwong Southeast Australia",2008-04-30,2010-06-15
"CSIRO-OROUGHYSE-1978-2007-FULTON","Orange roughy Southeast Australia",2008-04-30,2010-06-15
"DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE","Atlantic cod NAFO 3Ps",2008-05-27,2009-06-08
"DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE","Atlantic cod NAFO 2J3KL inshore",2008-05-28,2009-03-17
"DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE","Pollock NAFO-4VWX5Zc",2008-05-29,2009-03-17
"DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE","Herring NAFO 4R spring spawners",2008-05-30,2010-07-14
"DFO-HERR4VWX-1965-2006-PREFONTAINE","Herring Scotian Shelf and Bay of Fundy",2008-06-02,2009-03-17
"DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE","American Plaice NAFO-23K",2008-06-03,2009-06-08
"DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE","Haddock NAFO-4X5Y",2008-06-03,2011-03-02
"DFO-HAD5Zejm-1968-2003-PREFONTAINE","Haddock NAFO-5Zejm",2008-06-04,2010-07-14
"DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE","Herring NAFO 4R fall spawners",2008-06-05,2010-07-14
"DFO-SG-HERR4TSP-1974-2007-PREFONTAINE","Herring NAFO 4T spring spawners",2008-06-05,2010-07-14
"DFO-SG-HERR4TFA-1974-2007-PREFONTAINE","Herring NAFO 4T fall spawners",2008-06-05,2010-07-14
"DFO-MAR-COD4VsW-1958-2002-PREFONTAINE","Atlantic cod NAFO 4VsW",2008-06-09,2009-06-08
"DFO-COD5Zjm-1978-2003-PREFONTAINE","Atlantic cod NAFO 5Zjm",2008-06-10,2011-03-01
"DFO-MAR-WHAKE4VWX5-1964-2005-PREFONTAINE","White hake Scotian Shelf, Bay of Fundy and Georges Bank",2008-06-18,2009-06-08
"DFO-NFLD-MONK2J3KLNOPs-1977-2000-PREFONTAINE","Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank",2008-06-26,2009-06-08
"NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE","Greenland halibut NAFO 23KLMNO",2008-07-02,2009-03-17
"DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE","Greenland halibut NAFO 4RST",2008-07-03,2009-03-17
"DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE","American Plaice NAFO-3Ps",2008-07-04,2009-03-17
"DFO-MAR-BSKATCANATL-1970-1987-PREFONTAINE","Barndoor skate Canadian Atlantic Ocean",2008-07-09,2009-03-17
"DFO-QUE-REDFISHSPP3Pn4RSTVn-1953-2000-PREFONTAINE","Redfish species NAFO 3Pn4RSTVn",2008-07-25,2009-03-17
"NAFO-SC-REDFISHSPP3M-1989-2006-PREFONTAINE","Redfish species NAFO 3M",2008-07-28,2009-03-17
"NAFO-SC-REDFISHSPP1-1965-2004-PREFONTAINE","Redfish species NAFO 1",2008-07-29,2009-03-17
"DFO-PAC-HERRSOG-1951-2007-COLLIE","Pacific herring Straight of Georgia",2008-07-29,2010-07-16
"DFO-PAC-HERRWCVANI-1951-2007-COLLIE","Pacific herring West Coast of Vancouver Island",2008-07-29,2010-07-16
"DFO-PAC-HERRQCI-1951-2007-COLLIE","Pacific herring Queen Charlotte Islands",2008-07-30,2010-07-16
"DFO-PAC-HERRPRD-1951-2007-COLLIE","Pacific herring Prince Rupert District",2008-07-30,2010-07-16
"DFO-PAC-HERRCC-1951-2007-COLLIE","Pacific herring Central Coast",2008-07-30,2010-07-16
"DFO-NFLD-REDFISHSPP23K-1959-2001-PREFONTAINE","Redfish species NAFO 23K",2008-08-19,2009-03-17
"DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE","Atlantic cod NAFO 3Pn4RS",2008-08-20,2010-07-16
"NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS","Hoki Western New Zealand",2008-09-18,2010-07-21
"NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS","Hoki Eastern New Zealand",2008-09-18,2010-07-19
"SPC-ALBASPAC-1959-2006-JENSEN","Albacore tuna South Pacific Ocean",2008-10-21,2010-07-16
"NEFSC-CODGB-1960-2008-BAUM","Atlantic cod Georges Bank",2008-10-24,2009-03-24
"SPC-BIGEYEWPO-1952-2006-JENSEN","Bigeye tuna Western Pacific Ocean",2008-10-30,2010-07-16
"NEFSC-HADGB-1930-2008-BAUM","Haddock Georges Bank",2008-10-30,2009-03-17
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Summer flounder Mid-Atlantic Coast",2008-11-03,2009-03-17
"NEFSC-YELLGB-1935-2008-BAUM","Yellowtail flounder Georges Bank",2008-11-04,2009-03-17
"NEFSC-CODGOM-1893-2008-BAUM","Atlantic cod Gulf of Maine",2008-11-04,2009-03-23
"NEFSC-YELLSNEMATL-1935-2008-BAUM","Yellowtail Flounder Southern New England-Mid Atlantic",2008-11-04,2009-03-24
"NWFSC-CROCKPCOAST-1916-2007-BRANCH","Canary rockfish Pacific Coast",2008-11-10,2009-03-17
"ICCAT-ALBANATL-1929-2005-WORM","Albacore tuna North Atlantic",2008-11-14,2010-07-16
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Bluefin tuna Western Atlantic",2008-11-14,2010-07-18
"ICCAT-SWORDMED-1968-2006-JENSEN","Swordfish Mediterranean Sea",2008-11-17,2010-07-18
"SPC-YFINCWPAC-1952-2005-JENSEN","Yellowfin tuna Central Western Pacific",2008-11-18,2010-05-04
"WGBFAS-CODBA2532-1964-2007-JENNINGS","Atlantic cod Baltic Areas 25-32",2008-11-18,2010-07-18
"WGBFAS-CODBA2224-1969-2007-JENNINGS","Atlantic cod Baltic Areas 22 and 24",2008-11-18,2010-07-18
"NWFSC-ESOLEPCOAST-1876-2007-BRANCH","English sole Pacific Coast",2008-11-18,2010-03-17
"WGBFAS-HERR31-1979-2006-JENNINGS","Herring ICES 31",2008-11-18,2010-07-18
"WGBFAS-HERR30-1972-2007-JENNINGS","Herring ICES 30",2008-11-18,2010-07-18
"SPC-SKJCWPAC-1972-2006-JENSEN","Skipjack tuna Central Western Pacific",2008-11-18,2010-05-04
"SEFSC-GAGSATLC-1962-2005-JENSEN","Gag Southern Atlantic coast",2008-11-19,2010-03-16
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","Black rockfish Southern Pacific Coast",2008-11-19,2010-03-16
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","Arrowtooth flounder Pacific Coast",2008-11-19,2010-03-16
"SEFSC-GRAMBERGM-1986-2004-JENSEN","Greater amberjack Gulf of Mexico",2008-11-19,2010-03-16
"SEFSC-VSNAPGM-1981-2004-JENSEN","Vermilion snapper Gulf of Mexico",2008-11-19,2010-03-16
"WGBFAS-SPRAT22-32-1973-2007-JENNINGS","Sprat ICES Baltic Areas 22-32",2008-11-19,2010-07-18
"SEFSC-GAGGM-1963-2004-JENSEN","Gag Gulf of Mexico",2008-11-19,2010-03-16
"WGHMM-HAKENRTN-1977-2007-JENNINGS","Hake Northeast Atlantic North",2008-11-20,2010-07-18
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","Black rockfish Northern Pacific Coast",2008-11-20,2010-03-16
"WGNSSK-HADROCK-1990-2007-JENNINGS","Haddock Rockall Bank",2008-11-20,2010-07-18
"SEFSC-GTRIGGM-1981-2004-JENSEN","Gray triggerfish Gulf of Mexico",2008-11-21,2010-07-21
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH","Blue rockfish California",2008-11-21,2009-06-02
"NWFSC-CHILISPCOAST-1892-2007-BRANCH","Chilipepper Southern Pacific Coast",2008-11-21,2009-03-17
"WGBFAS-HERR2532-1973-2006-JENNINGS","Herring ICES 25-32",2008-11-21,2010-07-18
"WGHMM-HAKESOTH-1982-2007-JENNINGS","Hake Northeast Atlantic South",2008-11-21,2011-02-04
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Anchovy ICES VIII",2008-11-21,2010-07-18
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Mackerel ICES Northeast Atlantic",2008-11-21,2010-07-18
"WGBFAS-HERRRIGA-1976-2007-JENNINGS","Herring ICES 28",2008-11-21,2010-07-18
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","European pilchard ICES VIIIc-IXa",2008-11-21,2010-07-18
"NWFSC-COWCODSCAL-1900-2007-BRANCH","Cowcod Southern California",2008-11-21,2009-06-02
"SEFSC-RSNAPSATLC-1945-2006-JENSEN","Red snapper Southern Atlantic coast",2008-11-22,2009-03-25
"SEFSC-RGROUPGM-1986-2005-JENSEN","Red grouper Gulf of Mexico",2008-11-22,2010-07-28
"WGSSDS-PLAICCELT-1976-2006-JENNINGS","European Plaice ICES VIIf-g",2008-11-22,2010-07-18
"NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","Longnose skate Pacific Coast",2008-11-23,2009-06-02
"NWFSC-WROCKPCOAST-1955-2006-BRANCH","Widow rockfish Pacific Coast",2008-11-23,2010-03-05
"SEFSC-GRAMBERSATLC-1946-2006-JENSEN","Greater amberjack Southern Atlantic coast",2008-11-23,2010-02-12
"SEFSC-KMACKSATLC-1981-2001-JENSEN","King mackerel Southern Atlantic Coast",2008-11-23,2009-03-25
"WGSSDS-PLAICECHW-1975-2006-JENNINGS","European Plaice ICES VIIe",2008-11-23,2010-07-18
"WGSSDS-SOLECS-1970-2006-JENNINGS","common European sole Celtic Sea",2008-11-23,2010-07-18
"NWFSC-DKROCKPCOAST-1928-2007-BRANCH","Darkblotched rockfish Pacific Coast",2008-11-23,2010-03-05
"SEFSC-KMACKGM-1992-2001-JENSEN","King mackerel Gulf of Mexico",2008-11-23,2010-03-05
"NWFSC-SABLEFPCOAST-1900-2007-BRANCH","Sablefish Pacific Coast",2008-11-23,2010-07-21
"NWFSC-BOCACCSPCOAST-1951-2006-BRANCH","Bocaccio Southern Pacific Coast",2008-11-23,2010-03-19
"WGHMM-SOLEVIII-1982-2006-JENNINGS","common European sole Bay of Biscay",2008-11-23,2010-07-18
"NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH","Yelloweye rockfish Pacific Coast",2008-11-23,2009-03-17
"NWFSC-PHAKEPCOAST-1966-2008-BRANCH","Pacific hake Pacific Coast",2008-11-24,2010-05-27
"NEFSC-HAD5Y-1956-2008-BAUM","Haddock NAFO-5Y",2008-11-24,2009-03-23
"WGHMM-MEG8c9a-1985-2007-JENNINGS","Megrim ICES VIIIc-IXa",2008-11-24,2010-07-18
"WGHMM-FMEG8c9a-1986-2006-JENNINGS","Fourspotted megrim ICES VIIIc-IXa",2008-11-24,2010-07-18
"NWFSC-POPERCHPCOAST-1953-2007-BRANCH","Pacific ocean perch Pacific Coast",2008-11-24,2010-03-19
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Shortbelly rockfish Pacific Coast",2008-11-24,2011-03-02
"WGSSDS-HADVIIb-k-1993-2006-JENNINGS","Haddock ICES VIIb-k",2008-11-24,2010-07-18
"SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN","Mutton snapper Southern Atlantic coast and Gulf of Mexico",2008-11-25,2009-03-25
"SEFSC-RPORGYSATLC-1972-2004-JENSEN","Red porgy Southern Atlantic coast",2008-11-25,2010-05-05
"WGNPBW-BWHITNEA-1980-2007-JENNINGS","Whiting Northeast Atlantic",2008-11-25,2010-07-18
"SEFSC-SPANMACKSATLC-1950-2008-JENSEN","Spanish mackerel Southern Atlantic Coast",2008-11-25,2010-04-30
"WGBFAS-HERRIsum-1983-2007-JENNINGS","Herring Iceland (Summer spawners)",2008-11-25,2010-07-18
"WGSSDS-SOLEVIIe-1968-2006-JENNINGS","common European sole Western English Channel",2008-11-25,2010-07-18
"NEFSC-YELLCCODGOM-1935-2008-LEGAULT","Yellowtail flounder Cape Cod / Gulf of Maine",2008-11-26,2009-03-17
"AFWG-GHALNEAR-1959-2007-JENNINGS","Greenland halibut Northeast Arctic",2008-11-26,2010-07-18
"HAWG-HERRNIRS-1960-2006-JENNINGS","Herring Northern Irish Sea",2008-11-26,2010-08-26
"WGSSDS-WHITVIIek-1982-2007-JENNINGS","Whiting ICES VIIe-k",2008-11-27,2010-07-18
"WGBFAS-SOLEIIIa-1982-2007-JENNINGS","common European sole ICES Kattegat and Skagerrak",2008-11-27,2010-07-18
"TAFI-TASGIANTCRABTAS-1990-2007-JENSEN","Tasmanian giant crab Tasmania",2008-11-29,2010-06-14
"IATTC-BIGEYEEPAC-1975-2007-JENSEN","Bigeye tuna Eastern Pacific",2008-11-30,2010-07-16
"NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO","Winter Flounder Southern New England-Mid Atlantic",2008-12-03,2010-03-16
"ADFG-HERRPWS-1980-2006-COLLIE","Pacific herring Prince William Sound",2008-12-08,2010-07-27
"ADFG-HERRSITKA-1978-2007-COLLIE","Pacific herring Sitka",2008-12-08,2010-07-27
"NEFSC-WITFLOUN5Y-1982-2008-WIGLEY","Witch Flounder NAFO-5Y",2008-12-10,2010-07-27
"INIDEP-ARGHAKENARG-1985-2007-Parma","Argentine hake Northern Argentina",2008-12-11,2010-07-13
"NEFSC-OPOUTNWATLC-1962-2008-WIGLEY","Ocean pout Northwestern Atlantic Coast",2008-12-11,2009-03-17
"NEFSC-AMPL5YZ-1960-2008-OBRIEN","American Plaice NAFO-5YZ",2008-12-12,2009-03-23
"INIDEP-ARGANCHOSARG-1992-2007-Parma","Argentine anchoita Southern Argentina",2008-12-20,2010-07-13
"INIDEP-ARGANCHONARG-1989-2007-Parma","Argentine anchoita Northern Argentina",2008-12-20,2010-07-13
"INIDEP-PATGRENADIERSARG-1983-2006-Parma","Patagonian grenadier Southern Argentina",2008-12-30,2010-07-14
"INIDEP-SBWHITARGS-1985-2007-Parma"," Southern blue whiting Southern Argentina",2008-12-30,2010-07-13
"MARAM-ANCHOSA-1984-2006-deMoor","Anchovy South Africa",2009-01-16,2010-07-16
"MARAM-SARDSA-1984-2006-deMoor","Sardine South Africa",2009-01-16,2010-07-16
"ICCAT-ATBTUNAEATL-1969-2007-WORM","Bluefin tuna Eastern Atlantic",2009-01-22,2010-07-18
"MARAM-CRLOBSTERSA8-1910-2008-Johnston","South African west coast rock lobster South Africa Area 8",2009-02-12,2010-07-16
"MARAM-CTRACSA-1950-2007-Johnston","Cape horse mackerel South Africa South coast",2009-02-12,2010-07-16
"MARAM-SSLOBSTERSASC-1973-2008-Johnston","Southern spiny lobster South Africa South coast",2009-02-12,2011-03-02
"MARAM-CRLOBSTERSA12-1910-2008-Johnston","South African west coast rock lobster South Africa Areas 1-2",2009-02-12,2010-07-16
