"","StockID","Area","Commonname","Scientificname","Category","type","ratio1992","ratiocurrent","mcontpre","mcontpost","mpre","mpost","msspre","msspost"
"1","ACADREDGOMGB","Gulf of Maine / Georges Bank","Acadian redfish","Sebastes fasciatus","Demersal"," ",0.37,8.66,-0.0582,0.1702,-0.0556,0.2303,-0.0535,0.2109
"2","ALBANATL","Northern Atlantic","Albacore tuna","Thunnus alalunga","Pelagic"," ",0.93,0.81,-0.0177,-0.0097,-0.0185,-0.0244,-0.0156,-0.0144
"3","ALBASPAC","South Pacific Ocean","Albacore tuna","Thunnus alalunga","Pelagic"," ",4.01,2.46,-0.0307,-7e-04,-0.0373,-0.0295,-0.0337,-0.0349
"4","ALPLAICBSAI","Bering Sea and Aleutian Islands","Alaska plaice","Pleuronectes quadrituberculatus","Demersal"," ",2.71,2.46,0.0233,-0.0322,0.0458,-0.0123,0.0324,-0.006
"5","AMPL23K","Labrador - NE Newfoundland","American plaice","Hippoglossoides platessoides","Demersal",NA,NA,NA,-0.1657,-0.1548,-0.0588,-0.0479,-0.1073,-0.147
"6","AMPL3LNO","Grand Banks","American plaice","Hippoglossoides platessoides","Demersal","*",0.14,0.08,-0.0587,-0.0688,-0.0222,0.064,-0.0524,0.0187
"7","AMPL5YZ","Gulf of Maine / Georges Bank","American plaice","Hippoglossoides platessoides","Demersal"," ",0.52,0.7,-0.0993,0.0283,-0.1398,0.0087,-0.0809,0.0202
"8","ARFLOUNDBSAI","Bering Sea and Aleutian Islands","Arrowtooth flounder","Reinhardtius stomias","Demersal"," ",1.31,2.7,0.0628,0.0463,0.0524,0.0381,0.0592,0.0451
"9","ARFLOUNDGA","Gulf of Alaska","Arrowtooth flounder","Reinhardtius stomias","Demersal"," ",1.93,3.02,0.0521,0.0257,0.0508,0.0225,0.0467,0.0249
"10","ARFLOUNDPCOAST","Pacific Coast","Arrowtooth flounder","Reinhardtius stomias","Demersal"," ",3.11,3.81,-0.009,0.0129,-0.0095,0.0027,-0.0059,0.0136
"11","ATBTUNAEATL","Eastern Atlantic","Atlantic bluefin tuna","Thunnus thynnus","Pelagic"," ",0.62,0.34,-0.0135,-0.0403,-0.0221,-0.055,-0.0173,-0.0621
"12","ATBTUNAWATL","Western Atlantic","Atlantic bluefin tuna","Thunnus thynnus","Pelagic"," ",0.43,0.57,-0.0961,0.0318,-0.1085,0.0106,-0.0918,0.0193
"13","ATKABSAI","Bering Sea and Aleutian Islands","Atka mackerel","Pleurogrammus monopterygius","Demersal"," ",2.23,1.55,0.0272,0.0026,0.0189,-0.0025,0.0648,-0.0215
"14","ATLCROAKMATLC","Mid-Atlantic Coast","Atlantic croaker","Micropogonias undulatus","Demersal"," ",1.3,1.42,0.0782,0.0306,0.0677,0.0034,0.0952,0.0092
"15","AUSSALMONNZ","New Zealand","Australian salmon","Arripis trutta","Pelagic"," ",1.84,1.64,-0.0475,-7e-04,-0.0541,-0.0082,-0.044,-0.008
"16","BGROCKPCOAST","Pacific Coast","Blackgill rockfish","Sebastes melanostomus","Demersal"," ",1.43,1.31,-0.0124,-0.0287,-0.0093,-0.0034,-0.0136,-0.007
"17","BIGEYEATL","Atlantic","Bigeye tuna","Thunnus obesus","Pelagic","*",1.41,0.9,-0.015,-0.0576,0.0018,-0.0358,-0.0049,-0.0274
"18","BIGEYEEPAC","Eastern Pacific","Bigeye tuna","Thunnus obesus","Pelagic"," ",1.74,0.9,-0.0086,-0.0494,-0.001,-0.0419,-0.0074,-0.0439
"19","BIGEYEIO","Indian Ocean","Bigeye tuna","Thunnus obesus","Pelagic"," ",2.29,1.23,-0.0062,-0.0626,-0.0049,-0.0558,-0.0114,-0.0518
"20","BIGEYEWPO","Western Pacific Ocean","Bigeye tuna","Thunnus obesus","Pelagic"," ",1.87,1.06,-0.0326,-0.0212,-0.0352,-0.0384,-0.0287,-0.0407
"21","BIGHTREDSE","Southeast Australia","Bight redfish","Centroberyx gerrardi","Demersal"," ",1.34,0.95,0.0056,-0.017,0.0038,-0.0242,0.0047,-0.0234
"22","BLACKOREOWECR","West end of Chatham Rise","Black oreo","Allocyttus niger","Demersal"," ",1.25,0.99,-0.0588,-0.0164,-0.0581,-0.0156,-0.0513,-0.0158
"23","BLACKROCKNPCOAST","Northern Pacific Coast","Black rockfish","Sebastes melanops","Demersal","*",0.98,1.37,-0.0126,-0.0158,-0.0095,0.0586,-0.0167,0.0458
"24","BLACKROCKSPCOAST","Southern Pacific Coast","Black rockfish","Sebastes melanops","Demersal"," ",1.21,2.23,-0.0103,-0.0019,-0.0078,0.0528,NA,NA
"25","BLUEFISHATLC","Atlantic Coast","Bluefish","Pomatomus saltatrix","Demersal","*",0.56,0.81,-0.1517,0.0269,-0.1415,0.0303,-0.1314,0.0212
"26","BLUEROCKCAL","California","Blue rockfish","Sebastes mystinus","Demersal"," ",0.33,0.75,-0.025,-0.0164,-0.0204,0.0802,-0.027,0.0544
"27","BOCACCSPCOAST","Southern Pacific Coast","Bocaccio","Sebastes paucispinis","Demersal"," ",0.18,0.32,-0.027,-0.0448,-0.0143,0.0425,-0.0328,0.0421
"28","BSBASSMATLC","Mid-Atlantic Coast","Black sea bass","Centropristis striata","Demersal"," ",0.56,0.92,-0.0119,0.0354,-0.0045,0.0505,0.0051,0.0331
"29","BUTTERGOMCHATT","Gulf of Maine / Cape Hatteras","Atlantic butterfish","Peprilus triacanthus","Demersal",NA,NA,NA,-0.0154,-0.043,-0.0087,-0.0149,-0.0578,-0.0034
"30","BWHITNEA","Northeast Atlantic","Blue whiting","Micromesistius poutassou","Demersal","*",0.34,0.67,-0.0141,0.0858,-0.0363,0.0768,0.0073,0.0351
"31","CABEZNCAL","Northern California","Cabezon","Scorpaenichthys marmoratus","Demersal"," ",0.77,1.04,-0.0122,-0.024,-0.0103,0.0283,-0.0162,0.0231
"32","CABEZSCAL","Southern California","Cabezon","Scorpaenichthys marmoratus","Demersal"," ",0.35,0.74,-0.0374,-0.0473,-0.0335,0.0178,-0.034,0.0573
"33","CAPEICE","Iceland Grounds","Capelin","Mallotus villosus","Pelagic","*",0.85,0.49,0.0341,0.0094,0.0099,-0.0089,0.0367,0.0081
"34","CAPENOR","Barents Sea","Capelin","Mallotus villosus","Pelagic","*",1.03,0.17,0.0585,0.0301,0.0571,0.0089,NA,NA
"35","CHAKESA","South Africa","Shallow-water cape hake","Merluccius capensis","Demersal"," ",3.04,2.3,-0.0068,0.0034,-0.0085,-0.028,NA,NA
"36","CHILISPCOAST","Southern Pacific Coast","Chilipepper rockfish","Sebastes goodei","Demersal","*",0.89,1.43,-0.009,-0.0062,-0.0072,0.0624,-0.0109,0.05
"37","CHTRACCH","Chilean EEZ and offshore","Chilean jack mackerel","Trachurus murphyi","Pelagic","*",1.12,0.52,0.1135,-0.0963,0.1703,-0.0395,0.1276,-0.0674
"38","CMACKPCOAST","Pacific Coast","Chub mackerel","Scomber japonicus","Pelagic"," ",1.04,0.68,-0.0071,-0.0568,-0.0088,-0.0786,-0.0332,-0.0265
"39","COD3NO","Southern Grand Banks","Atlantic cod","Gadus morhua","Demersal","*",0.05,0.02,-0.0446,-0.1081,-0.0161,0.0024,-0.0495,-0.0386
"40","COD3Pn4RS","Northern Gulf of St. Lawrence","Atlantic cod","Gadus morhua","Demersal","*",0.12,0.09,-0.1353,-0.029,-0.0611,0.0545,-0.101,0.0176
"41","COD3Ps","St. Pierre Bank","Atlantic cod","Gadus morhua","Demersal","*",0.29,0.49,-0.0269,0.0717,0.0145,0.1195,0.0037,0.0853
"42","COD4TVn","Southern Gulf of St. Lawrence","Atlantic cod","Gadus morhua","Demersal","*",0.31,0.17,0.0022,-0.0857,0.0392,-0.0286,-0.0253,-0.0335
"43","COD4VsW","Eastern Scotian Shelf","Atlantic cod","Gadus morhua","Demersal",NA,NA,NA,0.005,-0.2548,0.0379,-0.1399,-0.0148,-0.1734
"44","COD5Zjm","Georges Bank","Atlantic cod","Gadus morhua","Demersal","*",0.61,0.34,-0.0428,-0.0574,0.0036,-0.0032,-0.0202,-0.0521
"45","CODBA2224","Western Baltic","Atlantic cod","Gadus morhua","Demersal","*",0.37,0.36,-0.0362,-9e-04,-0.0365,-0.0014,-0.0706,0.0535
"46","CODBA2532","Eastern Baltic","Atlantic cod","Gadus morhua","Demersal","*",0.13,0.16,-5e-04,-0.1159,0.0221,-0.0546,-0.0362,-0.0093
"47","CODFAPL","Faroe Plateau","Atlantic cod","Gadus morhua","Demersal","*",0.36,0.26,-0.0094,-0.0397,-0.0076,-0.0325,-0.0248,-0.0101
"48","CODGB","Georges Bank","Atlantic cod","Gadus morhua","Demersal"," ",0.25,0.12,-0.0753,-0.0776,-0.0326,-0.049,-0.0632,-0.0503
"49","CODGOM","Gulf of Maine","Atlantic cod","Gadus morhua","Demersal","*",0.65,1.46,-0.0628,0.0218,0.0095,0.0458,-0.054,0.0693
"50","CODICE","Iceland Grounds","Atlantic cod","Gadus morhua","Demersal","*",0.37,0.46,-0.0412,0.034,-0.0432,0.0231,-0.0406,0.0144
"51","CODIS","Irish Sea","Atlantic cod","Gadus morhua","Demersal","*",0.52,0.15,-0.0249,-0.0905,-0.0114,-0.0595,-0.0231,-0.0737
"52","CODKAT","Kattegat and Skagerrak","Atlantic cod","Gadus morhua","Demersal","*",0.26,0.19,-0.0752,-0.0378,-0.0973,-0.0765,-0.0781,-0.0329
"53","CODNEAR","North-East Arctic","Atlantic cod","Gadus morhua","Demersal","*",0.73,0.56,-0.0129,0.079,-0.0244,-0.0203,-0.006,-0.0291
"54","CODNS","North Sea","Atlantic cod","Gadus morhua","Demersal","*",0.51,0.19,-0.0348,-0.0752,-0.0352,-0.0762,-0.0281,-0.0442
"55","CODVIa","West of Scotland","Atlantic cod","Gadus morhua","Demersal","*",0.35,0.12,-0.0464,-0.097,-0.0541,-0.1028,-0.0632,-0.091
"56","COWCODSCAL","Southern California","Cowcod","Sebastes levis","Demersal"," ",0.05,0.09,-0.0313,-0.1297,-0.0257,0.0448,-0.043,0.042
"57","CROCKPCOAST","Pacific Coast","Canary rockfish","Sebastes pinniger","Demersal"," ",0.4,0.85,-0.0222,-0.0076,-0.0187,0.0663,-0.0251,0.0506
"58","CTRACSA","South Africa South coast","Cape horse mackerel","Trachurus capensis","Pelagic","*",1.3,1.47,-3e-04,0.0127,-0.0016,0.0047,-0.0127,0.0091
"59","DEEPCHAKESA","South Africa","Deep-water cape hake","Merluccius paradoxus","Demersal"," ",0.81,0.83,-0.0369,0.0222,-0.0388,-0.0135,-0.0263,0.0013
"60","DEEPFLATHEADSE","Southeast Australia","Deepwater flathead","Platycephalus conatus","Demersal"," ",2.07,1.51,-0.0261,-0.0344,-0.0194,-0.0299,-0.0201,-0.0212
"61","DKROCKPCOAST","Pacific Coast","Darkblotched rockfish","Sebastes crameri","Demersal"," ",0.71,0.73,-0.0222,-0.0815,-0.0171,-0.0062,-0.0243,0.0021
"62","DSOLEPCOAST","Pacific Coast","Dover sole","Microstomus pacificus","Demersal"," ",1.06,1.61,-0.0112,0.0074,-0.0103,0.0357,-0.0108,0.032
"63","DUSROCKGA","Gulf of Alaska","Dusky rockfish","Sebastes variabilis","Demersal"," ",0.89,1.54,0.0484,0.04,0.0461,0.0383,0.0429,0.0364
"64","ESOLEPCOAST","Pacific Coast","English sole","Parophrys vetulus","Demersal"," ",1.24,6.42,-0.0139,0.1017,-0.0132,0.1333,-0.013,0.1095
"65","FLSOLEBSAI","Bering Sea and Aleutian Islands","Flathead sole","Hippoglossoides elassodon","Demersal"," ",1.83,1.83,0.202,-0.0112,0.2068,-0.0079,0.1779,0
"66","GAGGM","Gulf of Mexico","Gag","Mycteroperca microlepis","Demersal"," ",0.44,1,-0.0481,0.0883,-0.0494,0.0825,-0.0518,0.0687
"67","GAGSATLC","Southern Atlantic coast","Gag","Mycteroperca microlepis","Demersal"," ",0.6,0.94,-0.0429,0.0347,-0.0455,0.0239,-0.0382,0.0349
"68","GEMFISHNZ","New Zealand","common gemfish","Rexea solandri","Demersal"," ",4.78,1.64,-0.0108,-0.083,-0.0124,-0.0936,-0.0072,-0.0766
"69","GEMFISHSE","Southeast Australia","common gemfish","Rexea solandri","Demersal"," ",0.38,0.25,-0.0721,-0.0929,-0.0529,-0.0471,-0.0678,-0.0288
"70","GHAL23KLMNO","Labrador Shelf - Grand Banks","Greenland halibut","Reinhardtius hippoglossoides","Demersal","*",0.99,0.39,0.0512,-0.1551,0.0582,-0.1472,0.0707,-0.1674
"71","GHALBSAI","Bering Sea and Aleutian Islands","Greenland halibut","Reinhardtius hippoglossoides","Demersal"," ",5.18,1.48,0.0177,-0.1247,0.0319,-0.0835,0.0142,-0.0739
"72","GHALNEAR","North-East Arctic","Greenland halibut","Reinhardtius hippoglossoides","Demersal","*",0.14,0.36,-0.0681,0.0467,-0.0558,0.0854,-0.0537,0.0564
"73","GOPHERSPCOAST","Southern Pacific Coast","Gopher rockfish","Sebastes carnatus","Demersal"," ",1.87,2.38,-0.011,0.0669,-0.0194,0.0388,-0.0084,0.0186
"74","GRAMBERSATLC","Southern Atlantic coast","Greater amberjack","Seriola dumerili","Demersal"," ",1.24,1.1,-0.0193,-0.0275,-0.0153,0.0067,-0.0214,-0.0086
"75","GTRIGGM","Gulf of Mexico","Gray triggerfish","Balistes capriscus","Demersal"," ",2.13,1.12,0.0033,-0.0501,0.0184,-0.0411,0.0141,-0.054
"76","HAD4X5Y","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Haddock","Melanogrammus aeglefinus","Demersal","*",0.41,0.85,-0.0294,0.0524,-0.0223,0.0733,-0.0164,0.0684
"77","HAD5Y","Gulf of Maine","Haddock","Melanogrammus aeglefinus","Demersal"," ",0.15,0.99,-0.2069,0.1973,-0.2653,0.1522,-0.1924,0.1251
"78","HAD5Zejm","Georges Bank","Haddock","Melanogrammus aeglefinus","Demersal","*",0.25,1,-0.0168,0.1031,0.0029,0.167,-0.0293,0.1599
"79","HADFAPL","Faroe Plateau","Haddock","Melanogrammus aeglefinus","Demersal","*",0.31,0.85,-0.0054,0.0431,0.0068,0.1035,-0.0184,0.0685
"80","HADGB","Georges Bank","Haddock","Melanogrammus aeglefinus","Demersal"," ",0.1,1.99,-0.0275,0.1379,-0.0234,0.1929,-0.0286,0.1966
"81","HADICE","Iceland Grounds","Haddock","Melanogrammus aeglefinus","Demersal","*",0.35,0.98,-0.054,0.0587,-0.0387,0.0674,-0.0467,0.0589
"82","HADNEAR","North-East Arctic","Haddock","Melanogrammus aeglefinus","Demersal","*",0.61,1.1,-0.0078,0.0717,-0.0135,0.0311,0.0061,0.0421
"83","HADNS-IIIa","IIIa and North Sea","Haddock","Melanogrammus aeglefinus","Demersal","*",0.8,0.62,-0.0453,0.0537,-0.0461,0.0513,-0.051,0.0368
"84","HADVIa","West of Scotland","Haddock","Melanogrammus aeglefinus","Demersal","*",0.82,0.58,-0.0433,0.0253,-0.0453,0.0239,-0.0452,0.0262
"85","HAKENRTN","IIIa-IV-VI-VII-VIIIabd","Hake","Merluccius merluccius","Demersal","*",0.71,1.04,-0.086,0.0113,-0.0589,0.0268,-0.0679,0.0292
"86","HAKESOTH","VIIIc-IXa","Hake","Merluccius merluccius","Demersal",NA,NA,NA,-0.1155,-0.0256,-0.1067,-0.0227,-0.0949,-0.025
"87","HERR2532","Eastern Baltic","Herring","Clupea harengus","Pelagic","*",0.69,0.69,-0.0499,-0.0275,-0.0393,-0.014,-0.0372,0.0032
"88","HERR30","Bothnian Sea","Herring","Clupea harengus","Pelagic","*",1.47,1.19,0.0589,0.0028,0.0469,-0.0144,0.054,-0.0142
"89","HERR31","Bothnian Bay","Herring","Clupea harengus","Pelagic","*",0.65,0.29,-0.0497,-0.0629,-0.001,-0.0362,-0.0097,-0.0615
"90","HERR4RFA","NAFO 4R","Herring","Clupea harengus","Pelagic",NA,NA,NA,0.008,-0.0273,0.0064,-0.0308,-0.0107,-0.0263
"91","HERR4RSP","NAFO 4R","Herring","Clupea harengus","Pelagic",NA,NA,NA,-0.0036,-0.0566,0.0153,0.0162,0.0039,-0.0101
"92","HERR4VWX","Scotian Shelf and Bay of Fundy","Herring","Clupea harengus","Pelagic",NA,NA,NA,-0.0095,-0.1375,0.0045,-0.0965,-0.0139,-0.129
"93","HERRCC","Central Coast","Pacific herring","Clupea pallasii","Pelagic","*",1.25,0.3,0.022,-0.0456,0.0197,-0.0598,0.0125,-0.059
"94","HERRNIRS","Irish Sea","Herring","Clupea harengus","Pelagic","*",0.24,0.72,0.0102,-0.0734,0.0229,-0.0242,0.0292,0.0252
"95","HERRNS","North Sea","Herring","Clupea harengus","Pelagic","*",0.69,0.65,-0.0182,0.1215,-0.0234,0.0999,-0.0275,0.0384
"96","HERRNWATLC","Northwestern Atlantic Coast","Herring","Clupea harengus","Pelagic",NA,NA,NA,-0.0274,0.1555,-0.0683,0.0386,-0.0282,0.0387
"97","HERRPRD","Prince Rupert District","Pacific herring","Clupea pallasii","Pelagic","*",0.39,0.16,0.0037,-0.0118,0.0025,-0.0195,0.0077,-0.0349
"98","HERRPWS","Prince William Sound","Pacific herring","Clupea pallasii","Pelagic",NA,NA,NA,-0.0234,-0.1256,0.0597,-0.0799,0.041,-0.1524
"99","HERRQCI","Queen Charlotte Islands","Pacific herring","Clupea pallasii","Pelagic","*",0.36,0.2,0.0358,-0.1062,0.0457,-0.0468,0.0183,-0.0361
"100","HERRRIGA","Gulf of Riga East of Gotland","Herring","Clupea harengus","Pelagic","*",1.37,1.21,0.0587,-0.006,0.039,-0.0212,0.0536,-0.0108
"101","HERRSITKA","Sitka","Pacific herring","Clupea pallasii","Pelagic",NA,NA,NA,0.0401,0.0495,0.0672,0.0677,0.0712,0.0273
"102","HERRSOG","Straight of Georgia","Pacific herring","Clupea pallasii","Pelagic","*",1.17,0.91,0.0258,0.0165,0.023,-8e-04,0.0162,-0.0154
"103","HERRVIa","West of Scotland","Herring","Clupea harengus","Pelagic","*",0.37,0.18,-0.0376,9e-04,-0.0377,3e-04,-0.0222,-0.0251
"104","HERRWCVANI","West Coast of Vancouver Island","Pacific herring","Clupea pallasii","Pelagic","*",0.69,0.03,0.0266,-0.1686,0.0287,-0.1562,0.014,-0.1783
"105","HOKIENZ","Eastern New Zealand","Hoki","Macruronus novaezelandiae","Demersal","*",1.64,1.11,-9e-04,-0.0689,-3e-04,-0.068,-2e-04,-0.0529
"106","HOKIWNZ","Western New Zealand","Hoki","Macruronus novaezelandiae","Demersal","*",1.06,0.51,-0.0089,-0.11,-0.0102,-0.1117,-0.031,-0.0812
