"area","stockid","stocklong"
"Aust-NZ","BIGHTREDSE","Bight redfish Southeast Australia"
"Aust-NZ","DEEPFLATHEADSE","Deepwater flathead Southeast Australia"
"Aust-NZ","GEMFISHSE","common gemfish Southeast Australia"
"Aust-NZ","MORWONGSE","Jackass morwong Southeast Australia"
"Aust-NZ","NZLINGESE","New Zealand ling Eastern half of Southeast Australia"
"Aust-NZ","NZLINGWSE","New Zealand ling Western half of Southeast Australia"
"Aust-NZ","OROUGHYSE","Orange roughy Southeast Australia"
"Aust-NZ","SILVERFISHSE","Silverfish Southeast Australia"
"Aust-NZ","SWHITSE","School whiting Southeast Australia"
"Aust-NZ","TIGERFLATSE","Tiger flathead Southeast Australia"
"Aust-NZ","AUSSALMONNZ","Australian salmon New Zealand"
"Aust-NZ","BLACKOREOWECR","Black oreo West end of Chatham Rise"
"Aust-NZ","SMOOTHOREOWECR","Smooth oreo West end of Chatham Rise"
"Aust-NZ","HOKIENZ","Hoki Eastern New Zealand"
"Aust-NZ","HOKIWNZ","Hoki Western New Zealand"
"Aust-NZ","NZSNAPNZ8","New Zealand snapper New Zealand Area 8"
"Aust-NZ","TREVALLYTRE7","Trevally New Zealand Areas TRE 7"
"Aust-NZ","GEMFISHNZ","common gemfish New Zealand"
"Aust-NZ","NZLINGLIN3-4","New Zealand ling New Zealand Areas LIN 3 and 4"
"Aust-NZ","NZLINGLIN5-6","New Zealand ling New Zealand Areas LIN 5 and 6"
"Aust-NZ","NZLINGLIN72","New Zealand ling New Zealand Area LIN 72"
"Aust-NZ","NZLINGLIN7WC","New Zealand ling New Zealand Area LIN 7WC - WCSI"
"Aust-NZ","SOUTHHAKECR","Southern hake Chatham Rise"
"Aust-NZ","SOUTHHAKESA","Southern hake Sub-Antarctic"
"HighSeas","BIGEYEEPAC","Bigeye tuna Eastern Pacific"
"HighSeas","YFINEPAC","Yellowfin tuna Eastern Pacific"
"HighSeas","ALBANATL","Albacore tuna North Atlantic"
"HighSeas","ATBTUNAWATL","Bluefin tuna Western Atlantic"
"HighSeas","BIGEYEATL","Bigeye tuna Atlantic"
"HighSeas","SWORDNATL","Swordfish North Atlantic"
"HighSeas","YFINATL","Yellowfin tuna Atlantic"
"HighSeas","BIGEYEIO","Bigeye tuna Indian Ocean"
"HighSeas","PTOOTHFISHPEI","Patagonian toothfish South Africa Subantarctic Prince Edward Islands"
"HighSeas","ALBASPAC","Albacore tuna South Pacific Ocean"
"HighSeas","BIGEYEWPO","Bigeye tuna Western Pacific Ocean"
"HighSeas","SKJCWPAC","Skipjack tuna Central Western Pacific"
"HighSeas","YFINCWPAC","Yellowfin tuna Central Western Pacific"
"Med","ATBTUNAEATL","Bluefin tuna Eastern Atlantic"
"NEAtl","CAPENOR","Capelin Barents Sea"
"NEAtl","CODNEAR","Atlantic cod Northeast Arctic"
"NEAtl","GHALNEAR","Greenland halibut Northeast Arctic"
"NEAtl","HADNEAR","Haddock Northeast Arctic"
"NEAtl","POLLNEAR","Pollock Northeast Arctic"
"NEAtl","HERRNIRS","Herring Northern Irish Sea"
"NEAtl","HERRNS","Herring North Sea"
"NEAtl","HERRVIa","Herring ICES VIa"
"NEAtl","CAPEICE","Capelin Iceland"
"NEAtl","CODFAPL","Atlantic cod Faroe Plateau"
"NEAtl","CODICE","Atlantic cod Iceland"
"NEAtl","HADFAPL","Haddock Faroe Plateau"
"NEAtl","POLLFAPL","Pollock Faroe Plateau"
"NEAtl","CODBA2224","Atlantic cod Baltic Areas 22 and 24"
"NEAtl","CODBA2532","Atlantic cod Baltic Areas 25-32"
"NEAtl","CODKAT","Atlantic cod Kattegat"
"NEAtl","HERR2532","Herring ICES 25-32"
"NEAtl","HERR30","Herring ICES 30"
"NEAtl","HERRRIGA","Herring ICES 28"
"NEAtl","SPRAT22-32","Sprat ICES Baltic Areas 22-32"
"NEAtl","MACKNEICES","Mackerel ICES Northeast Atlantic"
"NEAtl","SARDPVIIIc-IXa","European pilchard ICES VIIIc-IXa"
"NEAtl","CODIS","Atlantic cod Irish Sea"
"NEAtl","CODVIa","Atlantic cod West of Scotland"
"NEAtl","HADVIa","Haddock West of Scotland"
"NEAtl","PLAICIS","European Plaice Irish Sea"
"NEAtl","SOLEIS","common European sole Irish Sea"
"NEAtl","CODNS","Atlantic cod North Sea"
"NEAtl","HADNS-IIIa","Haddock ICES IIIa and North Sea"
"NEAtl","PLAICIIIa","European Plaice ICES IIIa"
"NEAtl","PLAICNS","European Plaice North Sea"
"NEAtl","POLLNS-VI-IIIa","Pollock ICES IIIa, VI and North Sea"
"NEAtl","SOLENS","common European sole North Sea"
"NEAtl","PLAICCELT","European Plaice ICES VIIf-g"
"NEAtl","PLAICECHW","European Plaice ICES VIIe"
"NEAtl","SOLECS","common European sole Celtic Sea"
"NEAtl","SOLEVIIe","common European sole Western English Channel"
"NEPac","HERRSITKA","Pacific herring Sitka"
"NEPac","ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands"
"NEPac","ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands"
"NEPac","ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska"
"NEPac","ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands"
"NEPac","CABEZNCAL","Cabezon Northern California"
"NEPac","CABEZSCAL","Cabezon Southern California"
"NEPac","DUSROCKGA","Dusky rockfish Gulf of Alaska"
"NEPac","FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands"
"NEPac","GHALBSAI","Greenland turbot Bering Sea and Aleutian Islands"
"NEPac","NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands"
"NEPac","NROCKGA","Northern rockfish Gulf of Alaska"
"NEPac","NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands"
"NEPac","PCODBSAI","Pacific cod Bering Sea and Aleutian Islands"
"NEPac","PCODGA","Pacific cod Gulf of Alaska"
"NEPac","PERCHEBSAI","Pacific Ocean perch Eastern Bering Sea and Aleutian Islands"
"NEPac","POPERCHGA","Pacific ocean perch Gulf of Alaska"
"NEPac","REYEROCKBSAI","Rougheye rockfish Bering Sea and Aleutian Islands"
"NEPac","REYEROCKGA","Rougheye rockfish Gulf of Alaska"
"NEPac","SABLEFEBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska"
"NEPac","WPOLLAI","Walleye pollock Aleutian Islands"
"NEPac","WPOLLEBS","Walleye pollock Eastern Bering Sea"
"NEPac","WPOLLGA","Walleye pollock Gulf of Alaska"
"NEPac","YSOLEBSAI","Yellowfin sole Bering Sea and Aleutian Islands"
"NEPac","HERRCC","Pacific herring Central Coast"
"NEPac","HERRPRD","Pacific herring Prince Rupert District"
"NEPac","HERRQCI","Pacific herring Queen Charlotte Islands"
"NEPac","HERRSOG","Pacific herring Straight of Georgia"
"NEPac","HERRWCVANI","Pacific herring West Coast of Vancouver Island"
"NEPac","CMACKNPAC","Pacific chub mackerel North Pacific"
"NEPac","ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast"
"NEPac","BGROCKPCOAST","Blackgill rockfish  Pacific Coast"
"NEPac","BLACKROCKNPCOAST","Black rockfish Northern Pacific Coast"
"NEPac","BLACKROCKSPCOAST","Black rockfish Southern Pacific Coast"
"NEPac","BLUEROCKCAL","Blue rockfish California"
"NEPac","BOCACCSPCOAST","Bocaccio Southern Pacific Coast"
"NEPac","CHILISPCOAST","Chilipepper Southern Pacific Coast"
"NEPac","COWCODSCAL","Cowcod Southern California"
"NEPac","CROCKPCOAST","Canary rockfish Pacific Coast"
"NEPac","DKROCKPCOAST","Darkblotched rockfish Pacific Coast"
"NEPac","ESOLEPCOAST","English sole Pacific Coast"
"NEPac","LNOSESKAPCOAST","Longnose skate Pacific Coast"
"NEPac","LSTHORNHPCOAST","Longspine thornyhead Pacific Coast"
"NEPac","PHAKEPCOAST","Pacific hake Pacific Coast"
"NEPac","POPERCHPCOAST","Pacific ocean perch Pacific Coast"
"NEPac","PSOLENPCOAST","Petrale sole Northern Pacific Coast"
"NEPac","PSOLESPCOAST","Petrale sole Southern Pacific Coast"
"NEPac","SABLEFPCOAST","Sablefish Pacific Coast"
"NEPac","SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast"
"NEPac","WROCKPCOAST","Widow rockfish Pacific Coast"
"NEPac","YEYEROCKPCOAST","Yelloweye rockfish Pacific Coast"
"NEPac","YTROCKNPCOAST","Yellowtail rockfish Northern Pacific Coast"
"NEPac","LINGCODNPCOAST","Lingcod Northern Pacific Coast"
"NEPac","LINGCODSPCOAST","Lingcod Southern Pacific Coast"
"NEPac","CMACKPCOAST","Pacific chub mackerel Pacific Coast"
"NEPac","DSOLEPCOAST","Dover sole Pacific Coast"
"NEPac","GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast"
"NEPac","SBELLYROCKPCOAST","Shortbelly rockfish Pacific Coast"
"NEPac","STFLOUNNPCOAST","Starry flounder Northern Pacific Coast"
"NEPac","STFLOUNSPCOAST","Starry flounder Southern Pacific Coast"
"NorthMidAtl","GAGGM","Gag Gulf of Mexico"
"NorthMidAtl","GAGSATLC","Gag Southern Atlantic coast"
"NorthMidAtl","GRAMBERSATLC","Greater amberjack Southern Atlantic coast"
"NorthMidAtl","MENATGM","Gulf menhaden Gulf of Mexico"
"NorthMidAtl","RPORGYSATLC","Red porgy Southern Atlantic coast"
"NorthMidAtl","RSNAPSATLC","Red snapper Southern Atlantic coast"
"NorthMidAtl","SNOWGROUPSATLC","Snowy grouper Southern Atlantic coast"
"NorthMidAtl","SPANMACKSATLC","Spanish mackerel Southern Atlantic Coast"
"NorthMidAtl","TILESATLC","Tilefish Southern Atlantic coast"
"NorthMidAtl","VSNAPSATLC","Vermilion snapper Southern Atlantic coast"
"NWAtl","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast"
"NWAtl","COD5Zjm","Atlantic cod NAFO 5Zjm"
"NWAtl","HAD4X5Y","Haddock NAFO-4X5Y"
"NWAtl","HAD5Zejm","Haddock NAFO-5Zejm"
"NWAtl","HERR4VWX","Herring Scotian Shelf and Bay of Fundy"
"NWAtl","COD4VsW","Atlantic cod NAFO 4VsW"
"NWAtl","COD3Ps","Atlantic cod NAFO 3Ps"
"NWAtl","COD3Pn4RS","Atlantic cod NAFO 3Pn4RS"
"NWAtl","HERR4RFA","Herring NAFO 4R fall spawners"
"NWAtl","HERR4RSP","Herring NAFO 4R spring spawners"
"NWAtl","COD4TVn","Atlantic cod NAFO 4TVn"
"NWAtl","AMPL3LNO","American Plaice NAFO-3LNO"
"NWAtl","COD3NO","Atlantic cod NAFO 3NO"
"NWAtl","GHAL23KLMNO","Greenland halibut NAFO 23KLMNO"
"NWAtl","ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank"
"NWAtl","BSBASSMATLC","Black sea bass Mid-Atlantic Coast"
"NWAtl","BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras"
"NWAtl","CODGB","Atlantic cod Georges Bank"
"NWAtl","HAD5Y","Haddock NAFO-5Y"
"NWAtl","HADGB","Haddock Georges Bank"
"NWAtl","HERRNWATLC","Atlantic herring Northwestern Atlantic Coast"
"NWAtl","MACKGOMCHATT","Atlantic mackerel Gulf of Maine / Cape Hatteras"
"NWAtl","WHAKEGBGOM","White hake Georges Bank / Gulf of Maine"
"NWAtl","YELLGB","Yellowtail flounder Georges Bank"
"NWAtl","YELLSNEMATL","Yellowtail Flounder Southern New England-Mid Atlantic"
"SAfr","CHAKESA","Shallow-water cape hake South Africa"
"SAfr","CTRACSA","Cape horse mackerel South Africa South coast"
"SAfr","DEEPCHAKESA","Deep-water cape hake South Africa"
"SAfr","KINGKLIPSA","Kingklip South Africa"
NA,"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore"
