# DR, 2008-02-12, adding as much of this as possible to srdb.stock
 PINKLUT2 , Pink salmon ," Lutoga River, Sakhalin Is. "
 PINKLUT3 , Pink salmon ," Lutoga River, Sakhalin Is. "
 PINKNSA , Pink salmon ," Northern Panhandle, Alaska "
 PINKPCHA , Pink salmon ," Port Chatham, Cook Inlet, Alaska "
 PINKPDIC , Pink salmon ," Port Dick, Cook Inlet, Alaska "
 PINKPGRA , Pink salmon ," Port Graham, Cook Inlet, Alaska "
 PINKPOK1 , Pink salmon ," Pokosnaya River, Sakhalin Is. "
 PINKPOK2 , Pink salmon ," Pokosnaya River, Sakhalin Is. "
 PINKPOK3 , Pink salmon ," Pokosnaya River, Sakhalin Is. "
 PINKPORO , Pink salmon ," Poronal River, Sakhalin Is. "
 PINKROCK , Pink salmon ," Rocky River, Cook Inlet, Alaska "
 PINKSEL , Pink salmon ," Seldovia, Cook Inlet, Alaska "
 PINKSSA , Pink salmon ," Southern Panhandle, Alaska "
 PINKSUND , Pink salmon ," Sunday Creek, Cook Inlet, Alaska "
 PINKUTK1 , Pink salmon ," Utka River, Kamchatka "
 PINKUTK2 , Pink salmon ," Utka River, Kamchatka "
 PINKUTK3 , Pink salmon ," Utka River, Kamchatka "
 PINKWINL , Pink salmon ," Windy Left, Cook Inlet, Alaska "
 PINKWINR , Pink salmon ," Windy Right, Cook Inlet, Alaska "

 PLAIC7b , Plaice ," W. of Ireland, ICES VIIb,c "
 PLAIC7d , Plaice , ICES VIId 
 PLAIC7e , Plaice , ICES VIIe 
 PLAIC7h , Plaice ," Southwest of Ireland, ICES VIIh-k "
 PLAICCS , Plaice , Celtic Sea 
 PLAICIIIa , Plaice , ICES IIIa 
 PLAICIS , Plaice , Irish Sea 
 PLAICKAT , Plaice , Kattegat 
 PLAICNS , Plaice , North Sea 
 PLAICSKAG , Plaice , Skagerrak 

 POLL4VWX5 , Pollock or saithe , NAFO 4VWX5 
 POLLFA , Pollock or saithe , Faroe 
 POLLICE , Pollock or saithe , Iceland 
 POLLNEAR , Pollock or saithe , North East Arctic 
 POLLNS , Pollock or saithe , North Sea 
 POLLVI , Pollock or saithe , ICES VI 

 PPERCHIJS , Pikeperch ," Lake Ijssel, the Netherlands "
 PPERCHTJE , Pikeperch ," Lake Tjeukemeer, the Netherlands "

 PSAURYBAJA , Pacific Saury ," Soledad Basin, Baja California "
 PSAURYCAL , Pacific Saury , California 

 PSEUDOCSGEORGIA , Pseudochaenichthys ," South Georgia, Antarctic Ocean "

 PSOLEBC , Petrale sole ," Southern B.C., Canada "

 RBSMELTERIEW , Rainbow smelt , Western Lake Erie 

 REDDRUMFLATL , Red drum ," Florida Atlantic Coast, USA "
 REDDRUMFLGULF , Red drum ," Florida Gulf Coast, USA "

 RHAKE5YZ , Red hake ," NAFO Gulf of Maine, N. Georges Bank "
 RHAKESNE , Red hake , NAFO S. New England 

 RKCRABBRIS , Red King Crab ," Bristol Bay, Alaska "

 ROACKLIR , Roach , Klicava Reservoir 
 ROACRFRO , Roach ," River Frome, Dorset, England "
 ROACRSTO , Roach ," River Stour, Dorset, England "

 RPORGYNC , Red porgy , Atlantic Ocean off North Carolina 

 RSNAPGULFM , Red Snapper , U.S. Gulf of Mexico 

 RSOLEBC , Rock sole ," Hecate Strait, B.C. "

 RSTURGDANUBE , Russian sturgeon , Danube river 

 SAANCH , S.A. Anchovy , South Africa 
 SAANCH2 , S.A. Anchovy , South Africa 

 SABLEFPCAN , Sablefish , W. Canada 
 SABLEFUSA , Sablefish , West Coast USA 
 SABLEFUSAMODEL2 , Sablefish , West Coast USA (alternative model) 

 SAHAKE , S.A. Hake , South Africa 1.6 
 SAHAKESC , S.A. Hake , South Africa South Coast 

 SAHERR , Round herring , South Africa 1.6 

 SAHMACK , Cape horse mackerel , South Africa 1.3-1.5 

 SAKFLOKAM , Sakalin flounder , West Kamchatka Shelf 

 SAKINGKLIP , Kingklip , South Africa 1.3-1.4 

 SAPILCH , Sardine , South Africa 
 SAPILCHN , Sardine , South Africa 
 SARDBAJA , Sardine ," Soledad Basin, Baja California "
 SARDBRAZ , Brazilian sardine , South Eastern Brazil 
 SARDCAL , Sardine , California 
 SARDCAL2 , Sardine , California 
 SARDCAL3 , Sardine , California 
 SARDCAL4 , Sardine , California 
 SARDGCAL , Sardine , Gulf of California 
 SARDGCAL2 , Sardine , Gulf of California 
 SARDJAP , Sardine , Japan-E. 
 SARDNCHILE , Sardine , Chile- Northern zone 
 SARDSJAP , Sardine , Sea of Japan 

 SARDVIIIc-IXa , Spanish sardine , West Iberian (ICES VIIIc-IXa) 

 SAUGKAB , Sauger ," Lake Kabetogama, Minnesota "
 SAUGPEPIN , Sauger ," Lake Pepin, Minnesota "
 SAUGRAIN , Sauger ," Rainy Lake, Minnesota "
 SAUGWOOD , Sauger ," Lake of the Woods, Minnesota "

 SBASSENGCHANNEL , Sea bass , English Channel 
 SBASSHPSUK , Sea bass ," Hinkley Point, Somerset UK "
 SBASSSEUK , Sea bass , Severn Estuary UK 
 SBASSSIUK , Sea bass , Southern Irish UK 
 SBASSSWUK , Sea bass , South-western UK 

 SBREAMYS , Sea bream , Yellow Sea 

 SBTUNA , Southern bluefin tuna , Southern Pacific 
 SBTUNA2 , Southern bluefin tuna , Southern Pacific 

 SBWHITNZ , Southern blue whiting ," Campbell Island, NZ "

 SCALL5Ze , Sea scallop , NAFO 5Ze 
 SCALLGB , Sea scallop , Georges Bank 

 SCRABHIUN , Swimming crab ," Hiuchi Nada, Seto Island Sea "
 SCUP , Scup , Cape Cod - Cape Hatteras USA 

 SDOGBLACK , Spiny dogfish , Black Sea 
 SDOGNWATL , Spiny dogfish , Northwest Atlantic 
 SDOGNWATL2 , Spiny dogfish , Northwest Atlantic 
 SDOGNWATL3 , Spiny dogfish , Northwest Atlantic 

 SEELNNS , Sandeel , Northern North Sea 
 SEELSHET , Sandeel , Shetland 
 SEELSHET2 , Sandeel , Shetland 
 SEELSNS , Sandeel , Southern North Sea 
 SEELVI , Sandeel , ICES VIa 

 SFLOUNDMAB , Summer flounder , Middle Atlantic Bight 

 SHADBLACK , Black Sea shad , Black Sea 

 SHAKE4VWX , Silver hake , NAFO 4VWX 
 SHAKE5Ze , Silver hake , NAFO 5Ze 
 SHAKEMAB , Silver hake , Mid Atlantic Bight 

 SMOUTHBASSCOURTOIS , Smallmouth bass ," Courtois Creek, Missouri "
 SMOUTHBASSHURON , Smallmouth bass ," Baie du Dore, Lake Huron, "
 SMOUTHBASSSBAY , Smallmouth bass ," South Bay, Manitoulin Island, Canada "

 SNAPPSWCUBA , Silk Snapper , Zone B - Cuba 

 SOCKADAM , Sockeye salmon ," Adams Complex, B.C. "
 SOCKADAM2 , Sockeye salmon ," Adams Complex, B.C. "
 SOCKBAB , Sockeye salmon ," Babine Lake, B.C. "
 SOCKBAB2 , Sockeye salmon ," Babine Lake, B.C. "
 SOCKBAB3 , Sockeye salmon ," Babine Lake, B.C. "
 SOCKBIRK , Sockeye salmon ," Birkenhead River, B.C. "
 SOCKBIRK2 , Sockeye salmon ," Birkenhead River, B.C. "
 SOCKBLA , Sockeye salmon ," Black Lake, Alaska "
 SOCKBRA , Sockeye salmon ," Branch River, Alaska "
 SOCKBRIS , Sockeye salmon ," Bristol Bay, Alaska "
 SOCKCHI , Sockeye salmon ," Chignik Lake, Alaska "
 SOCKCHIK , Sockeye salmon ," Chilko River, B.C. "
 SOCKCHIL2 , Sockeye salmon ," Chilko River, B.C. "
 SOCKCHL1 , Sockeye salmon ," Chilko Lake, B.C. "
 SOCKCHL2 , Sockeye salmon ," Chilko River, B.C. "
 SOCKCHL3 , Sockeye salmon ," Chilko Lake, B.C. "
 SOCKCOL , Sockeye salmon , Columbia River 
 SOCKDALN , Sockeye salmon ," Lake Dalnee, Kamchatka "
 SOCKECHL , Sockeye salmon ," Chilko South End, B.C. "
 SOCKEG1 , Sockeye salmon ," Egegik River, Alaska "
 SOCKEG2 , Sockeye salmon ," Egegik River, Alaska "
 SOCKEG3 , Sockeye salmon ," Egegik River, Alaska "
 SOCKEG4 , Sockeye salmon ," Egegik River, Alaska "
 SOCKFRASER , Sockeye salmon ," Fraser River, B.C. "
 SOCKFRAZ , Sockeye salmon ," Frazer Lake, Alaska "
 SOCKFUC1 , Sockeye salmon ," Fulton River, Channel 1, B.C. "
 SOCKFUC2 , Sockeye salmon ," Fulton River, Channel 2, B.C. "
 SOCKFULT , Sockeye salmon ," Fulton River, B.C. "
 SOCKGATE , Sockeye salmon ," Gates Creek, B.C. "
 SOCKHFLY , Sockeye salmon ," Horsefly River, B.C. "
 SOCKHFLY2 , Sockeye salmon ," Horsefly River, B.C. "
 SOCKIGU , Sockeye salmon ," Igushik River, Alaska "
 SOCKIGU2 , Sockeye salmon ," Igushik River, Alaska "
 SOCKKAR , Sockeye salmon ," Karluk River, Alaska "
 SOCKKARY , Sockeye salmon ," Karymaisky Spring, Kamchatka "
 SOCKKAS , Sockeye salmon ," Kasilof River, Alaska "
 SOCKKEN , Sockeye salmon ," Kenai River, Alaska "
 SOCKKVC2 , Sockeye salmon ," Kvichak River, Alaska "
 SOCKKVIC , Sockeye salmon ," Kvichak River, Alaska "
 SOCKLKIT , Sockeye salmon ," Little Kitoi Lake, Afognak Is., Alaska "
 SOCKLLSE , Sockeye salmon ," Lakelse Lake, B.C. "
 SOCKLNAD , Sockeye salmon ," Late Nadina River, B.C. "
 SOCKLPNK , Sockeye salmon ," Pinkut Creek, B.C. "
 SOCKLSTU , Sockeye salmon ," Late Stuart Complex, B.C. "
 SOCKLSTU2 , Sockeye salmon ," Late Stuart Complex, B.C. "
 SOCKNAK1 , Sockeye salmon ," Naknek-Kvichak Rivers, Alaska "
 SOCKNAK2 , Sockeye salmon ," Naknek River, Alaska "
 SOCKNAK3 , Sockeye salmon ," Naknek, Alaska "
 SOCKNUSH , Sockeye salmon ," Nushagak River, Alaska "
 SOCKNUY , Sockeye salmon ," Nuyakuk River, Alaska "
 SOCKPJOH , Sockeye salmon ," Port John Lake, B.C. "
 SOCKPNKC , Sockeye salmon ," Pinkut Channel, B.C. "
 SOCKQUES2 , Sockeye salmon ," Quesnel Lake, Fraser River, B.C. "
 SOCKREDR , Sockeye salmon ," Red River, Alaska "
 SOCKRINL , Sockeye salmon ," Rivers Inlet, B.C. "
 SOCKSHUS , Sockeye salmon ," Shuswap Lake, Fraser River, B.C. "
 SOCKSK2 , Sockeye salmon ," Skeena River, B.C. "
 SOCKSKEE , Sockeye salmon ," Skeena River, B.C. "
 SOCKSMIN , Sockeye salmon ," Smith Inlet, B.C. "
 SOCKSTEL , Sockeye salmon ," Stellako River, B.C. "
 SOCKSTEL2 , Sockeye salmon ," Stellako River, B.C. "
 SOCKSTUA , Sockeye salmon ," Early Stuart Complex, B.C. "
 SOCKSTUA2 , Sockeye salmon ," Early Stuart Complex, B.C. "
 SOCKTAHL1 , Sockeye salmon ," Tahltan Lake, B.C. "
 SOCKTAHL2 , Sockeye salmon ," Tahltan Lake, B.C. "
 SOCKTAHL3 , Sockeye salmon ," Tahltan Lake, B.C. "
 SOCKTALL , Sockeye salmon ," Tally Creek, B.C. "
 SOCKTOG , Sockeye salmon ," Togiak River, Alaska "
 SOCKTOG2 , Sockeye salmon ," Togiak River, Alaska "
 SOCKUG1 , Sockeye salmon ," Ugashik River, Alaska "
 SOCKUG2 , Sockeye salmon ," Ugashik River, Alaska "
 SOCKUG3 , Sockeye salmon ," Ugashik River, Alaska "
 SOCKUG4 , Sockeye salmon ," Ugashik River, Alaska "
 SOCKUPNK , Sockeye salmon ," Upper Pinkut Creek, B.C. "
 SOCKUPST , Sockeye salmon ," Ayakulik, Kodiak Island, Alaska "
 SOCKWEAV , Sockeye salmon ," Weaver Creek, B.C. "
 SOCKWEAV2 , Sockeye salmon ," Weaver Creek, B.C. "
 SOCKWEV , Sockeye salmon ," Weaver Creek, B.C. "
 SOCKWOOD , Sockeye salmon ," Wood River, Alaska "
 SOCKWOOD2 , Sockeye salmon ," Wood River, Alaska "

 SOLECS , Sole , Celtic Sea 
 SOLEIIIa , Sole , ICES IIIa 
 SOLEIS , Sole , Irish Sea 
 SOLEVIII , Sole , Bay of Biscay (VIII) 
 SOLEVIId , Sole , ICES VIId 
 SOLEVIIe , Sole , ICES VIIe 

 SPRAT22-32 , Sprat , Baltic Areas 22-32 
 SPRAT2628 , Sprat , Baltic Areas 26 and 28 
 SPRATBLACK , Sprat , Black Sea 

 SSTURGDANUBE , Starred sturgeon , Danube river 

 STRIPEDBASSCHOPTANK , Striped bass ," Choptank River, Chesapeake Bay "
 STRIPEDBASSHEADCHES , Striped bass , Head of Chesapeake Bay 
 STRIPEDBASSNANICOKE , Striped bass ," Nanticoke River, Chesapeake Bay "
 STRIPEDBASSPOTOMAC , Striped bass ," Potomac River, Chesapeake Bay "
 STRIPEDBASSUSA , Striped bass ," East Coast, USA "
 STRIPEDBASSUSA2 , Striped bass ," East Coast, USA "

 STROKEOADU , Steelhead trout ," Keogh River, B.C. "
 STROKEOFRY , Steelhead trout ," Keogh River, B.C. "
 STROKEOSMO , Steelhead trout ," Keogh River, B.C. "

 SWORDNA , Swordfish , North Atlantic 

 THORNYGA , Shortspine thornyhead , Gulf of Alaska 

 TIGPEXM , Tiger prawn ," Exmouth Gulf, Western Australia "

 TREVALLY , False trevally , Gulf of Thailand 

 TURBOTBLACK , Black Sea turbot , Black Sea 

 VENDACEPY , Vendace ," Lake Pyhajarvi, Finland "

 WALLBALSAM , Walleye , Balsam Lake 
 WALLBUCKHORN , Walleye , Buckhorn Lake 
 WALLCASS , Walleye ," Cass Lake, Minnesota "
 WALLERIE , Walleye ," Lake Erie, New York "
 WALLERIE1 , Walleye ," Lake Erie, Michigan "
 WALLERIE2 , Walleye , Lake Erie 
 WALLERIE3 , Walleye , Erie Lake 
 WALLERIEW , Walleye , Western Lake Erie 
 WALLESCL , Walleye ," Escanaba Lake, Wisconsin "
 WALLEVER , Walleye ," Lake Vermilion East, Minnesota "
 WALLKAB , Walleye ," Lake Kabetogama, Minnesota "
 WALLLEECH , Walleye ," Leech Lake, Minnesota "
 WALLMILL , Walleye ," Mille Lacs Lake, Minnesota "
 WALLNAMA , Walleye , Namakan River 
 WALLNIPI , Walleye , Nipissing Lake 
 WALLPEPIN , Walleye ," Lake Pepin, Minnesota "
 WALLRAIN , Walleye ," Rainy Lake, Minnesota "
 WALLRAIN2 , Walleye ," Rainy Lake, Minnesota "
 WALLRAINY , Walleye , Rainy Lake 
 WALLREDL , Walleye ," Red Lakes, Minnesota "
 WALLRICE , Walleye , Rice Lake 
 WALLSAVAN , Walleye , Savanne Lake 
 WALLSAVL , Walleye ," Savanne Lake, Ontario "
 WALLSCUG , Walleye , Scugog Lake 
 WALLURED , Walleye ," Upper Red Lake, Minnesota "
 WALLWINN , Walleye ," Lake Winnibigoshish, Minnesota "
 WALLWOOD , Walleye ," Lake of the Woods, Minnesota "
 WALLWOODS , Walleye , Woods Lake 
 WALLWVER , Walleye ," Lake Vermilion West, Minnesota "

 WBASSERIEW , White bass , Western Lake Erie 

 WCROAECS , White croaker , East China Sea 

 WEAKFISH , Weakfish ," East Coast, USA "

 WHAKE4T , White hake , NAFO 4T 

 WHFSHLCNS , Whitefish ," Lake Constance, Europe "

 WHITBLACKE , Black Sea whiting , Eastern Black Sea 
 WHITBLACKW , Black Sea whiting , Western Black Sea 

 WHITCS , Whiting , Celtic Sea 
 WHITIS , Whiting , Irish Sea 
 WHITIS2 , Whiting , Irish Sea 
 WHITNS , Whiting , North Sea 
 WHITNS2 , Whiting , North Sea 
 WHITVIId , Whiting , ICES VIId 
 WHITVIa , Whiting , ICES VIa 
 WHITVIa2 , Whiting , ICES VIa 

 WOLFGREEN , Atlantic wolffish , West Greenland 

 WPERERIEW , White perch , Western Lake Erie 

 WPOLLEBS , Walleye pollock , E. Bering Sea 
 WPOLLGA , Walleye pollock ," Gulf of Alaska, Alaska "
 WPOLLJAP , Walleye pollock , Japan-Pacific coast of Hokkaido 
 WPOLLKAM , Walleye pollock , East Kamchatka 
 WPOLLWBS , Walleye pollock , West Bering Sea 

 WROCKVANCON , Widow rockfish , W. U.S. + Canada 

 YCROAECS , Yellow croaker , East China Sea 

 YELL3LNO , Yellowtail flounder , NAFO 3LNO 
 YELL5Z , Yellowtail flounder , NAFO 5Z 
 YELLSNE , Yellowtail flounder , Southern New England 

 YFINEPAC , Yellowfin tuna , Eastern Pacific Ocean 
 YFININDO , Yellowfin tuna , Indian Ocean 

 YPERERIEW , Yellow perch , Western Erie Lake 
 YPERGBAY , Yellow perch ," Green Bay, Lake Michigan "
 YPERKAB , Yellow perch ," Kabegogama Lake, Minnesota "
 YPERLEECH , Yellow perch ," Leech Lake, Minnesota "
 YPERONEI , Yellow perch ," Oneida Lake, New York "
 YPERRAIN , Yellow perch ," Rainy Lake, Minnesota "
 YPERREDL , Yellow perch ," Red Lakes, Minnesota "
 YPERSAVL , Yellow perch ," Savanne Lake, Ontario "
 YPERSBAY , Yellow perch ," South Bay, Lake Huron "
 YPERWLERIE , Yellow perch , Western Lake Erie 

 YROCKCOL , Yellowtail rockfish , Columbia 
 YROCKVAN , Yellowtail rockfish , Vancouver 

 YSBREAMCEC , Yellow sea bream , Central East China Sea 
 YSBREAMCH , Yellow sea bream , East China Sea 
 YSBREAMJC , Yellow sea bream , Japan Coast 
 YSBREAMSE1 , Yellow sea bream , South East China Sea 
 YSBREAMSE2 , Yellow sea bream , South East China Sea 

 YSOLEEBS , Yellowfin sole , E. Bering Sea 
 YSOLEKAM , Yellowfin sole , West Kamchatka Shelf 
